Year,Category,Nominee,Additional Info
2017,Score,Passengers,NONE
2017,Screenplay - Adapted,Arrival,NONE
2017,Screenplay - Adapted,Fences,NONE
2017,Screenplay - Adapted,Hidden Figures,NONE
2017,Screenplay - Adapted,Lion,NONE
2017,Screenplay - Adapted,Moonlight,NONE
2017,Screenplay - Original,Hell or High Water,NONE
2017,Screenplay - Original,La La Land,NONE
2017,Screenplay - Original,The Lobster,NONE
2017,Screenplay - Original,Manchester by the Sea,NONE
2017,Screenplay - Original,20th Century Women,NONE
2017,Song,Can't Stop the Feeling,Trolls
2017,Song,City of Stars,La La Land
2017,Song,The Empty Chair,Jim the James Foley Story
2017,Song,How Far I'll Go,Moana
2017,Song,Audition,La La Land
2017,Visual Effects,Deepwater Horizion,NONE
2017,Visual Effects,Doctor Strange,NONE
2017,Visual Effects,The Jungle Book,NONE
2017,Visual Effects,Kubo and the Two Strings,NONE
2017,Visual Effects,Rogue One A Star Wars Story,NONE
2017,Filler Data,Filler Data,NONE
2016,Actor - Leading Role,Bryan Cranston,Trumbo
2016,Actor - Leading Role,Matt Damon,The Martian
2016,Actor - Leading Role,Leonardo DiCaprio,The Revenant
2016,Actor - Leading Role,Michael Fassbender,Steve Jobs
2016,Actor - Leading Role,Eddie Redmayne,The Danish Girl
2016,Actor - Supporting Role,Christian Bale,The Big Short
2016,Actor - Supporting Role,Tom Hardy,The Revenant
2016,Actor - Supporting Role,Mark Ruffalo,Spotlight
2016,Actor - Supporting Role,Mark Rylance,Bridge of Spies
2016,Actor - Supporting Role,Sylvester Stallone,Creed
2016,Actress - Leading Role,Cate Blanchett,Carol
2016,Actress - Leading Role,Brie Larson,Room
2016,Actress - Leading Role,Jennifer Lawrence,Joy
2016,Actress - Leading Role,Charlotte Rampling,45 Years
2016,Actress - Leading Role,Saoirse Ronan,Brooklyn
2016,Actress - Supporting Role,Jennifer Jason Leigh,The Hateful Eight
2016,Actress - Supporting Role,Rooney Mara,Carol
2016,Actress - Supporting Role,Rachel McAdams,Spotlight
2016,Actress - Supporting Role,Alicia Vikander,The Danish Girl
2016,Actress - Supporting Role,Kate Winslet,Steve Jobs
2016,Animated Feature,Anomalisa,NONE
2016,Animated Feature,MoanaBoy and the World,NONE
2016,Animated Feature,Inside Out,NONE
2016,Animated Feature,Shaun the Sheep Movie,NONE
2016,Animated Feature,When Marnie Was There,NONE
2016,Best Picture,The Big Short,NONE
2016,Best Picture,Bridge of Spies,NONE
2016,Best Picture,Brooklyn,NONE
2016,Best Picture,Mad Max: Fury Road,NONE
2016,Best Picture,The Martian,NONE
2016,Best Picture,The Revenant,NONE
2016,Best Picture,Room,NONE
2016,Best Picture,Spotlight,NONE
2016,Cinematography,Carol,NONE
2016,Cinematography,The Hateful Eight,NONE
2016,Cinematography,Mad Max: Fury Road,NONE
2016,Cinematography,The Revenant,NONE
2016,Cinematography,Sicario,NONE
2016,Costume Design,Carol,NONE
2016,Costume Design,Cinderella,NONE
2016,Costume Design,The Danish Girl,NONE
2016,Costume Design,Mad Max: Fury Road,NONE
2016,Costume Design,The Revenant,NONE
2016,Director,The Big Short,NONE
2016,Director,Max Max Fury Road,NONE
2016,Director,The Revenant,NONE
2016,Director,Room,NONE
2016,Director,Spotlight,NONE
2016,Documentary,Amy,NONE
2016,Documentary,Cartel Land,NONE
2016,Documentary,What Happened Miss Simone?,NONE
2016,Documentary,The Look of Silence,NONE
2016,Documentary,Winter on Fire Ukraine's Fight for Freedom,NONE
2016,Film Editing,The Big Short,NONE
2016,Film Editing,Mad Max: Fury Road,NONE
2016,Film Editing,The Revenant,NONE
2016,Film Editing,Spotlight,NONE
2016,Film Editing,Star Wars The Force Awakens,NONE
2016,Foreign Language Film,Embrace of the Serpent,NONE
2016,Foreign Language Film,Mustang,NONE
2016,Foreign Language Film,Son of Saul,NONE
2016,Foreign Language Film,Theeb,NONE
2016,Foreign Language Film,A War,NONE
2016,Makeup and Hairstyling,Mad Max: Fury Road,NONE
2016,Makeup and Hairstyling,THE 100 YEAR OLD MAN WHO CLIMBED OUT THE WINDOW AND DISAPPEARED,NONE
2016,Makeup and Hairstyling,The Revenant,NONE
2016,Production Design,Bridge of Spies,NONE
2016,Production Design,The Danigh Girl,NONE
2016,Production Design,Mad Max: Fury Road,NONE
2016,Production Design,The Martian,NONE
2016,Production Design,The Revenant,NONE
2016,Score,Bridge of Spies,NONE
2016,Score,Carol,NONE
2016,Score,The Hateful Eight,NONE
2016,Score,Sicario,NONE
2016,Score,Star Wars The Force Awakens,NONE
2016,Screenplay - Adapted,The Big Short,NONE
2016,Screenplay - Adapted,Brooklyn,NONE
2016,Screenplay - Adapted,Carol,NONE
2016,Screenplay - Adapted,The Martian,NONE
2016,Screenplay - Adapted,Room,NONE
2016,Screenplay - Original,Bridge of Spies,NONE
2016,Screenplay - Original,Ex Machina,NONE
2016,Screenplay - Original,Insode Out,NONE
2016,Screenplay - Original,Spotlight,NONE
2016,Screenplay - Original,Straight Outta Compton,NONE
2016,Song,Earned It,Fifty Shades of Grey
2016,Song,Manta Ray,Racing Extinction
2016,Song,Simple Song #3,Youth
2016,Song,Till it Happens to You,The Hunting Ground
2016,Song,Writing's On the Wall,Spectre
2016,Visual Effects,Ex Machina,NONE
2016,Visual Effects,Mad Max: Fury Road,NONE
2016,Visual Effects,The Martian,NONE
2016,Visual Effects,The Revenant,NONE
2016,Visual Effects,Star Wars The Force Awakens,NONE
2016,Filler Data,Filler Data,NONE
2015,Actor - Leading Role,Steve Carell,Foxcatcher
2015,Actor - Leading Role,Bradley Cooper,American Sniper
2015,Actor - Leading Role,Benedict Cumberbatch,The Imitation Game
2015,Actor - Leading Role,Michael Keaton,Birdman or (The Unexpected Virtue of Ignorance)
2015,Actor - Leading Role,Eddie Redmayne,The Theory of Everything
2015,Actor - Supporting Role,Robert Duvall,The Judge
2015,Actor - Supporting Role,Ethan Hawke,Boyhood
2015,Actor - Supporting Role,Edward Norton,Birdman or (The Unexpected Virtue of Ignorance)
2015,Actor - Supporting Role,Mark Ruffalo,Foxcatcher
2015,Actor - Supporting Role,J K Simmons,Whiplash
2015,Actress - Leading Role,Marion Cotillard,Two Days One Night
2015,Actress - Leading Role,Felicity Jones,The Theory of Everything
2015,Actress - Leading Role,Julianne Moore,StilLAlice
2015,Actress - Leading Role,Rosamund Pike,Gone Girl
2015,Actress - Leading Role,Reese Witherspoon,Wild
2015,Actress - Supporting Role,Patricia Arquette,Boyhood
2015,Actress - Supporting Role,Laura Dern,Wild
2015,Actress - Supporting Role,Keira Knightley,The Imitation Game
2015,Actress - Supporting Role,Emma Stone,Birdman or (The Unexpected Virtue of Ignorance)
2015,Actress - Supporting Role,Meryl Streep,Into the Woods
2015,Animated Feature,Big Hero 6,NONE
2015,Animated Feature,The Boxtrolls,NONE
2015,Animated Feature,How to Train Your Dragon 2,NONE
2015,Animated Feature,Song of the Sea,NONE
2015,Animated Feature,The Tale of the Princess Kaguya,NONE
2015,Best Picture,American Sniper,NONE
2015,Best Picture,Birdman or (The Unexpected Virtue of Ignorance),NONE
2015,Best Picture,Boyhood,NONE
2015,Best Picture,The Grand Budapest Hotel,NONE
2015,Best Picture,The Imitation Game,NONE
2015,Best Picture,Selma,NONE
2015,Best Picture,The Theory of Everything,NONE
2015,Best Picture,Whiplash,NONE
2015,Cinematography,Birdman or (The Unexpected Virtue of Ignorance),NONE
2015,Cinematography,The Grand Budapest Hotel,NONE
2015,Cinematography,Ida,NONE
2015,Cinematography,Mr Turner,NONE
2015,Cinematography,Unbroken,NONE
2015,Costume Design,The Grand Budapest Hotel,NONE
2015,Costume Design,Inherent Vice,NONE
2015,Costume Design,Into the Woods,NONE
2015,Costume Design,Maleficent,NONE
2015,Costume Design,Mr Turner,NONE
2015,Director,Birdman or (The Unexpected Virtue of Ignorance),NONE
2015,Director,Boyhood,NONE
2015,Director,Foxcatcher,NONE
2015,Director,The Grand Budapest Hotel,NONE
2015,Director,The Imitation Game,NONE
2015,Documentary,CitizenFour,NONE
2015,Documentary,Finding Vivian Maier,NONE
2015,Documentary,Last Days in Vietnam,NONE
2015,Documentary,The Salt of the Earth,NONE
2015,Documentary,Virunga,NONE
2015,Film Editing,American Sniper,NONE
2015,Film Editing,Boyhood,NONE
2015,Film Editing,The Grand Budapest Hotel,NONE
2015,Film Editing,The Imitation Game,NONE
2015,Film Editing,Whiplash,NONE
2015,Foreign Language Film,Ida,NONE
2015,Foreign Language Film,Leviathan,NONE
2015,Foreign Language Film,Tangerines,NONE
2015,Foreign Language Film,Timbuktu,NONE
2015,Foreign Language Film,Wild Tales,NONE
2015,Makeup and Hairstyling,Foxcatcher,NONE
2015,Makeup and Hairstyling,The Grand Budapest Hotel,NONE
2015,Makeup and Hairstyling,Guardians of the Galaxy,NONE
2015,Production Design,The Grand Budapest Hotel,NONE
2015,Production Design,The Imitation Game,NONE
2015,Production Design,Interstellar,NONE
2015,Production Design,Into the Woods,NONE
2015,Production Design,Mr Turner,NONE
2015,Score,The Grand Budapest Hotel,NONE
2015,Score,The Imitation Game,NONE
2015,Score,Interstellar,NONE
2015,Score,Mr Turner,NONE
2015,Score,The Theory of Everything,NONE
2015,Screenplay - Adapted,American Sniper,NONE
2015,Screenplay - Adapted,The Imitation Game,NONE
2015,Screenplay - Adapted,Inherent Vice,NONE
2015,Screenplay - Adapted,The Theory of Everything,NONE
2015,Screenplay - Adapted,Whiplash,NONE
2015,Screenplay - Original,Birdman or (The Unexpected Virtue of Ignorance),NONE
2015,Screenplay - Original,Nightcrawler,NONE
2015,Screenplay - Original,Boyhood,NONE
2015,Screenplay - Original,Foxcatcher,NONE
2015,Screenplay - Original,The Grand Budapest Hotel,NONE
2015,Song,Everything Is Awesome,The Lego Movie
2015,Song,Glory,Selma
2015,Song,Grateful,Beyond the Lights
2015,Song,I'm Not Gonna Miss You,Glen Campbell I'll Be Me
2015,Song,Lost Stars,Begin Again
2015,Visual Effects,Captain America The Winter Soldier,NONE
2015,Visual Effects,Dawn of the Planet of the Apes,NONE
2015,Visual Effects,Guardians of the Galaxy,NONE
2015,Visual Effects,Interstellar,NONE
2015,Visual Effects,X Men Days of Future Past,NONE
2015,Filler Data,Filler Data,NONE
2014,Actor - Leading Role,Bruce Dern,Nebraska
2014,Actor - Leading Role,Chiwetel Ejiofor,12 Years a Slave
2014,Actor - Leading Role,Matthew McConaughey,Dallas Buyers Club
2014,Actor - Leading Role,Leonardo DiCaprio,The Wolf of Wall Street
2014,Actor - Leading Role,Eddie RedmayneChristian Bale,American Hustle
2014,Actor - Supporting Role,Barkhad Abdi,Captain Phillips
2014,Actor - Supporting Role,Bradley Cooper,American Hustle
2014,Actor - Supporting Role,Jonah Hill,The Wolf of Wall Street
2014,Actor - Supporting Role,Jared Leto,Dallas Buyers Club
2014,Actor - Supporting Role,Michael Fassbender,12 Years a Slave
2014,Actress - Leading Role,Amy Adams,American Hustle
2014,Actress - Leading Role,Cate Blanchett,Blue Jasmine
2014,Actress - Leading Role,Judi Dench,Philomena
2014,Actress - Leading Role,Sandra Bullock,Gravity
2014,Actress - Leading Role,Meryl Streep,August Osage County
2014,Actress - Supporting Role,Jennifer Lawrence,American Hustle
2014,Actress - Supporting Role,Lupita Nyong'o,12 Years a Slave
2014,Actress - Supporting Role,June Squibb,Bnebraska
2014,Actress - Supporting Role,Julia Roberts,August Osage County
2014,Actress - Supporting Role,Sally Hawkins,Blue Jasmine
2014,Animated Feature,The Wind Rises,NONE
2014,Animated Feature,Frozen,NONE
2014,Animated Feature,Despicable Me 2,NONE
2014,Animated Feature,Ernest Celestine,NONE
2014,Animated Feature,The Croods,NONE
2014,Best Picture,12 Years a Slave,NONE
2014,Best Picture,The Wolf of Wall Street,NONE
2014,Best Picture,Captain Phillips,NONE
2014,Best Picture,Her,NONE
2014,Best Picture,American Hustle,NONE
2014,Best Picture,Gravity,NONE
2014,Best Picture,Dallas Buyers Club,NONE
2014,Best Picture,Nebraska,NONE
2014,Best Picture,Philomena,NONE
2014,Cinematography,Gravity,NONE
2014,Cinematography,Inside Llewyn Davis,NONE
2014,Cinematography,Nebraska,NONE
2014,Cinematography,Prisoners,NONE
2014,Cinematography,The Grandmaster,NONE
2014,Costume Design,The Great Gatsby,NONE
2014,Costume Design,12 Years a Slave,NONE
2014,Costume Design,The Grandmaster,NONE
2014,Costume Design,American Hustle,NONE
2014,Costume Design,The Invisible Woman,NONE
2014,Director,12 Years a Slave,NONE
2014,Director,American Hustle,NONE
2014,Director,Gravity,NONE
2014,Director,Nebraska,NONE
2014,Director,The Wolf of Wall Street,NONE
2014,Documentary,The Act of Killing,NONE
2014,Documentary,20 Feet From Stardom,NONE
2014,Documentary,The Square,NONE
2014,Documentary,Cutie and the Boxer,NONE
2014,Documentary,Dirty Wars,NONE
2014,Film Editing,Gravity,NONE
2014,Film Editing,12 Years a Slave,NONE
2014,Film Editing,Captain Phillips,NONE
2014,Film Editing,American Hustle,NONE
2014,Film Editing,Dallas Buyers Club,NONE
2014,Foreign Language Film,The Hunt,NONE
2014,Foreign Language Film,The Broken Circle Breakdown,NONE
2014,Foreign Language Film,The Great Beauty,NONE
2014,Foreign Language Film,Omar,NONE
2014,Foreign Language Film,The Missing Picture,NONE
2014,Makeup and Hairstyling,The Lone Rnager,NONE
2014,Makeup and Hairstyling,Jackass Presents Bad Grandpa,NONE
2014,Makeup and Hairstyling,Dallas Buyers Club,NONE
2014,Production Design,12 Years a Slave,NONE
2014,Production Design,The Great Gatsby,NONE
2014,Production Design,American Hustle,NONE
2014,Production Design,Gravity,NONE
2014,Production Design,Her,NONE
2014,Score,Gravity,NONE
2014,Score,Philomena,NONE
2014,Score,The Book Thief,NONE
2014,Score,Saving Mr Banks,NONE
2014,Score,Her,NONE
2014,Screenplay - Adapted,12 Years a Slave,NONE
2014,Screenplay - Adapted,Before Midnight,NONE
2014,Screenplay - Adapted,The Wolf of Wall Street,NONE
2014,Screenplay - Adapted,Captain Phillips,NONE
2014,Screenplay - Adapted,Philomena,NONE
2014,Screenplay - Original,American Hustle,NONE
2014,Screenplay - Original,Blue Jasmine,NONE
2014,Screenplay - Original,Her,NONE
2014,Screenplay - Original,Nebraska,NONE
2014,Screenplay - Original,Dallay Buyers Club,NONE
2014,Song,Let It Go,Frozen
2014,Song,Ordinary Love,Mandela Long Walk to Freedom
2014,Song,The Moon Song,Her
2014,Song,Happy,Despicable Me 2
2014,Song,Alone Yet Not Alone,Alone Yet Not Alone
2014,Visual Effects,Gravity,NONE
2014,Visual Effects,The Hobbit The Desolation of Smaug,NONE
2014,Visual Effects,Star Trek Into Darkness,NONE
2014,Visual Effects,Iron Man 3,NONE
2014,Visual Effects,The Lone Ranger,NONE
2014,Filler Data,Filler Data,NONE
2013,Actor - Leading Role,Daniel Day Lewis,Lincoln
2013,Actor - Leading Role,Bradley Cooper,Silver Linings Playbook
2013,Actor - Leading Role,Hugh Jackman,Les Miserables
2013,Actor - Leading Role,Joaquin Phoenix,The Master
2013,Actor - Leading Role,Denzel Washington,Flight
2013,Actor - Supporting Role,Christoph Waltz,Django Unchained
2013,Actor - Supporting Role,Alan Arkin,Argo
2013,Actor - Supporting Role,Robert De Niro,Silver Linings Playbook
2013,Actor - Supporting Role,Phillip Seymour Hoffman,The Master
2013,Actor - Supporting Role,Tommy Lee Jones,Lincoln
2013,Actress - Leading Role,Jennifer Lawrence,Silver Linings Playbook
2013,Actress - Leading Role,Jessica Chastain,Zero Dark Thirty
2013,Actress - Leading Role,Emmanuelle Riva,Armour
2013,Actress - Leading Role,Quvenzhane Wallis,Beasts of the Southern Wild
2013,Actress - Leading Role,Naomi Watts,The Impossible
2013,Actress - Supporting Role,Anne Hathaway,Les Miserables
2013,Actress - Supporting Role,Amy Adams,The Master
2013,Actress - Supporting Role,Sally Field,Lincoln
2013,Actress - Supporting Role,Helen Hunt,The Sessions
2013,Actress - Supporting Role,Jacki Weaver,Silver Linings Playbook
2013,Animated Feature,Brave,NONE
2013,Animated Feature,Frankenweenia,NONE
2013,Animated Feature,ParaNorman,NONE
2013,Animated Feature,The Piratesi Band of Misfits,NONE
2013,Animated Feature,Wreck It Ralph,NONE
2013,Best Picture,Argo,NONE
2013,Best Picture,Armour,NONE
2013,Best Picture,Beasts of the Souther Wild,NONE
2013,Best Picture,Django Unchained,NONE
2013,Best Picture,Les Miserables,NONE
2013,Best Picture,Life of Pi,NONE
2013,Best Picture,Lincoln,NONE
2013,Best Picture,Silver Linings Playbook,NONE
2013,Best Picture,Zero Dark Thirty,NONE
2013,Cinematography,Life of Pi,NONE
2013,Cinematography,Anna Karenina,NONE
2013,Cinematography,Django Unchained,NONE
2013,Cinematography,Lincoln,NONE
2013,Cinematography,Skyfall,NONE
2013,Costume Design,Anna Karenina,NONE
2013,Costume Design,Les Miserables,NONE
2013,Costume Design,Lincoln,NONE
2013,Costume Design,Mirror Mirror,NONE
2013,Costume Design,Snow White and the Huntsman,NONE
2013,Director,Life of Pi,NONE
2013,Director,Armour,NONE
2013,Director,Beasts of the Souther Wild,NONE
2013,Director,Lincoln,NONE
2013,Director,Silver Linings Playbook,NONE
2013,Documentary,Searching for Sugar Man,NONE
2013,Documentary,5 Broken Cameras,NONE
2013,Documentary,The Gatekeepers,NONE
2013,Documentary,Howto Survive a Plague,NONE
2013,Documentary,The Invisible War,NONE
2013,Film Editing,Argo,NONE
2013,Film Editing,Life of Pi,NONE
2013,Film Editing,Lincoln,NONE
2013,Film Editing,Silver Linings Playbook,NONE
2013,Film Editing,Zero Dark Thirty,NONE
2013,Foreign Language Film,Armour,NONE
2013,Foreign Language Film,Kon Tiki,NONE
2013,Foreign Language Film,No,NONE
2013,Foreign Language Film,A RoyaLAffair,NONE
2013,Foreign Language Film,War Witch,NONE
2013,Makeup and Hairstyling,Les Miserables,NONE
2013,Makeup and Hairstyling,Hitchcock,NONE
2013,Makeup and Hairstyling,The Hobbit An Unexpected Journey,NONE
2013,Production Design,Lincoln,NONE
2013,Production Design,Anna Karenina,NONE
2013,Production Design,The Hobbit An Unexpected Journey,NONE
2013,Production Design,Les Miserables,NONE
2013,Production Design,Life of Pi,NONE
2013,Score,Life of Pi,NONE
2013,Score,Anna Karenina,NONE
2013,Score,Argo,NONE
2013,Score,Lincoln,NONE
2013,Score,Skyfall,NONE
2013,Screenplay - Adapted,Argo,NONE
2013,Screenplay - Adapted,Beasts of the Southern Wild,NONE
2013,Screenplay - Adapted,Life of Pi,NONE
2013,Screenplay - Adapted,Lincoln,NONE
2013,Screenplay - Adapted,Silver Linings Playbook,NONE
2013,Screenplay - Original,Django Unchained,NONE
2013,Screenplay - Original,Armour,NONE
2013,Screenplay - Original,Flight,NONE
2013,Screenplay - Original,Moonrise Kingdom,NONE
2013,Screenplay - Original,Zero Dark Thirty,NONE
2013,Song,Skyfall,Skyfall
2013,Song,Before My Time,Chasing Ice
2013,Song,Everybody Needs a Best Friend,Ted
2013,Song,Pi's Lullaby,Life of Pi
2013,Song,Suddenly,Les Miserables
2013,Visual Effects,Life of Pi,NONE
2013,Visual Effects,The Hobbin An Unexpected Journey,NONE
2013,Visual Effects,The Avengers,NONE
2013,Visual Effects,Prometheus,NONE
2013,Visual Effects,Snow White and the Huntsman,NONE
2013,Filler Data,Filler Data,NONE
2012,Actor - Leading Role,Demian Bichir,A Better Life
2012,Actor - Leading Role,George Clooney,The Descendants
2012,Actor - Leading Role,Jean Dujardim,The Artist
2012,Actor - Leading Role,Gary Oldman,Tinker Tailor Soldier Spy
2012,Actor - Leading Role,Brad Pitt,Moneyball
2012,Actor - Supporting Role,Kenneth Branagh,My Week With Marilyn
2012,Actor - Supporting Role,Jonah Hill,Moneyball
2012,Actor - Supporting Role,Nick Nolte,Warrior
2012,Actor - Supporting Role,Christopher Plummer,Beginners
2012,Actor - Supporting Role,Max von Sydow,Extremely Loud and Incredibly Close
2012,Actress - Leading Role,Glenn Close,Albert Nobbs
2012,Actress - Leading Role,Rooney Mara,The Girl With the Dragon Tattoo
2012,Actress - Leading Role,Viola Davis,The Help
2012,Actress - Leading Role,Meryl Streep,The Iron Lady
2012,Actress - Leading Role,Michelle Williams,My Week With Marilyn
2012,Actress - Supporting Role,Berenice Bejo,The Artist
2012,Actress - Supporting Role,Jessica Chastain,The Help
2012,Actress - Supporting Role,Melissa McCarthy,Bridesmaids
2012,Actress - Supporting Role,Janet McTeer,Albert Nobbs
2012,Actress - Supporting Role,Octavia Spencer,The Help
2012,Animated Feature,A Cat in Paris,NONE
2012,Animated Feature,Chico and Rita,NONE
2012,Animated Feature,Kung Fu Panda 2,NONE
2012,Animated Feature,Puss in Boots,NONE
2012,Animated Feature,Rango,NONE
2012,Best Picture,War Horse,NONE
2012,Best Picture,The Artist,NONE
2012,Best Picture,Moneyball,NONE
2012,Best Picture,The Descendants,NONE
2012,Best Picture,The Tree of Life,NONE
2012,Best Picture,Midnight in Paris,NONE
2012,Best Picture,The Help,NONE
2012,Best Picture,Hugo,NONE
2012,Best Picture,Extremely Loud and Incredibly Close,NONE
2012,Cinematography,The Artist,NONE
2012,Cinematography,The Girl With the Dragon Tattoo,NONE
2012,Cinematography,Hugo,NONE
2012,Cinematography,The Tree of Life,NONE
2012,Cinematography,War Horse,NONE
2012,Costume Design,Anonymous,NONE
2012,Costume Design,The Artist,NONE
2012,Costume Design,Hugo,NONE
2012,Costume Design,Jane Eyre,NONE
2012,Costume Design,W E,NONE
2012,Director,The Artist,NONE
2012,Director,The Descendants,NONE
2012,Director,Hugo,NONE
2012,Director,Midnight in Paris,NONE
2012,Director,The Tree of Life,NONE
2012,Documentary,HelLAnd Back Again,NONE
2012,Documentary,If a Tree Falls A Story of the Earth Liberation Front,NONE
2012,Documentary,Paradise Lost 3 Purgatory,NONE
2012,Documentary,Pina,NONE
2012,Documentary,Undefeated,NONE
2012,Film Editing,The Artist,NONE
2012,Film Editing,The Descendants,NONE
2012,Film Editing,The Girl With the Dragon Tattoo,NONE
2012,Film Editing,Hugo,NONE
2012,Film Editing,Moneyball,NONE
2012,Foreign Language Film,Bullhead,NONE
2012,Foreign Language Film,Footnote,NONE
2012,Foreign Language Film,In Darkness,NONE
2012,Foreign Language Film,Monsieur Lazhar,NONE
2012,Foreign Language Film,A Seperation,NONE
2012,Makeup and Hairstyling,Albert Nobbs,NONE
2012,Makeup and Hairstyling,Harry Potter and the Deathly Hallows Part 2,NONE
2012,Makeup and Hairstyling,The Iron Lady,NONE
2012,Production Design,The Artist,NONE
2012,Production Design,Harry Potter and the Deathly Hallows Part 2,NONE
2012,Production Design,Hugo,NONE
2012,Production Design,Midnight in Paris,NONE
2012,Production Design,War Horse,NONE
2012,Score,The Adventures of Tintin,NONE
2012,Score,The Artist,NONE
2012,Score,Hugo,NONE
2012,Score,Tinker Tailor Soldier Spy,NONE
2012,Score,War Horse,NONE
2012,Screenplay - Adapted,The Descendants,NONE
2012,Screenplay - Adapted,Hugo,NONE
2012,Screenplay - Adapted,The Ides of March,NONE
2012,Screenplay - Adapted,Moneyball,NONE
2012,Screenplay - Adapted,Tinker Tailor Soldier Spy,NONE
2012,Screenplay - Original,The Artist,NONE
2012,Screenplay - Original,Bridesmaids,NONE
2012,Screenplay - Original,Midnight in Paris,NONE
2012,Screenplay - Original,Margin Call,NONE
2012,Screenplay - Original,A Seperation,NONE
2012,Song,Man of Muppet,The Muppets
2012,Song,Real in Rio,Rio
2012,Visual Effects,Harry Potter and the Deathly Hallows Part 2,NONE
2012,Visual Effects,Hugo,NONE
2012,Visual Effects,Real Steel,NONE
2012,Visual Effects,Rise of the Planet of the Apes,NONE
2012,Visual Effects,Transformers Dark Side of the Moon,NONE
2012,Filler Data,Filler Data,NONE
2011,Actor - Leading Role,Javier Bardem,Biutiful
2011,Actor - Leading Role,Jeff Bridges,True Grit
2011,Actor - Leading Role,Jesse Eisenberg,The Social Network
2011,Actor - Leading Role,Colin Firth,The King's Speech
2011,Actor - Leading Role,James Franco,127 Hours
2011,Actor - Supporting Role,Christian Bale,The Fighter
2011,Actor - Supporting Role,John Hawkes,Winter's Bone
2011,Actor - Supporting Role,Jeremy Renner,The Town
2011,Actor - Supporting Role,Mark Ruffalo,The Kids Are All Right
2011,Actor - Supporting Role,Geoffrey Rush,The King's Speech
2011,Actress - Leading Role,Annette Bening,The Kids Are All Right
2011,Actress - Leading Role,Nicole Kidman,Rabbit Hole
